identifier,Naam,Plaats,Jaar,Plaats op ranglijst,Prijs per stuk in €,Aanbieding prijs,Aanbieding in €,Adres,Adres_google,Categorie,Conclusie,Eindcijfer,Gewicht in gram,Hoeveelheid vulling,Klefheid,Luchtigheid,Nevenvestiging,Opmerking,Smaak,Uiterlijk,Vetpercentage,Zelf aangemeld voor deelname,Zoetheid,Aanbieding bulk aantal,Aanbieding bulk prijs
"Gebakkraam Van Reken & Zn, Arnhem",Gebakkraam Van Reken & Zn,Arnhem,2015,50.0,0.8,0.7,"10 voor 7,00","Elderveldplein, parkeerterrein winkelcentrum Elderhof","51°57'38.0""N 5°51'36.7""E",Ruim voldoende,De laatste jaren lukt het Van Reken zich steeds een beetje te verbeteren. Dat verdient respect en lof. De smaak is goed. Hetzelfde geldt voor de structuur. Maar de korst kan krakender.,7.5,79.0,,,,,,,,12.4,,,10,7.00
"Gebakkraam Gühnen, Heerenveen",Gebakkraam Gühnen,Heerenveen,2015,51.0,0.9,0.75,"12 voor 9,00",Kuperusplein,"Kuperusplein, Heerenveen, Nederland",Ruim voldoende,Bijna overdadig gevuld. Daardoor verbrande vruchten aan de buitenzijde die voor een bittertje zorgen. Gühnen staat regionaal goed bekend en stelt ook dit jaar zijn klanten niet teleur.,7.0,115.0,,,,,,,,6.54,,,12,9.00
"Oliebollencompany, Duiven",Oliebollencompany,Duiven,2015,52.0,1.0,0.83,"12 voor 10,00",Nieuwgraaf 28,"Nieuwgraaf 28, Duiven, Nederland",Ruim voldoende,"Zeker niet onvoldoende, maar wel een oliebol die op een aantal punten te verbeteren is. Zo valt er nog winst te behalen op korst- en eeteigenschappen. Kwestie van blijven proberen.",7.0,95.0,,,,,,,,9.42,,,12,10.00
"Het Suikertuintje van de Betuwe, Maurik",Het Suikertuintje van de Betuwe,Maurik,2015,53.0,0.9,0.82,"11 voor 9,00",Homoetsestraat 10,"Homoetsestraat 10, Maurik , Nederland",Ruim voldoende,De bollen zijn iets te donker gebakken en dat komt de smaak niet ten goede. Ook met een iets luchtiger product zou de score hoger zijn. Het zijn kleine puntjes om op te letten.,7.0,106.0,,,,,,,,10.8,,,11,9.00
"IJssalon Bemer, Soest",IJssalon Bemer,Soest,2015,54.0,0.8,0.75,"10 voor 7,50",Nieuwerhoekplein 6,"Nieuwerhoekplein 6, Soest, Nederland",Ruim voldoende,"Niet slecht, maar ook hier geldt dat de oliebol beter af zou zijn met minder ingrediënten. Zo kan minder meer worden. Vooral kaneel is te overheersend aanwezig. Opvallend schone zaak.",7.0,95.0,,,,,,,,10.8,,,10,7.50
"Gebakkraam Westenberg, Rhoon",Gebakkraam Westenberg,Rhoon,2015,55.0,1.0,0.83,"12 voor 10,00","Stationsstraat 5, parkeerterrein Intratuin","Stationsstraat 5, Rhoon, Nederland",Ruim voldoende,"Mathieu Westenberg is bereid te investeren in kennis en apparatuur. Dat leidde tot goud van het Nederlands Bakkerij Centrum. Korst en smaak zijn goed, maar iets te vast.",7.0,92.0,,,,,,,,10.1,,,12,10.00
"Gebakkraam De Poorter, Baarn",Gebakkraam De Poorter,Baarn,2015,56.0,1.0,0.8,"10 voor 8,00","Minervaweg 3, parkeerterrein Nijhof","Minervaweg 3, Baarn, Nederland",Ruim voldoende,"Een keurig oliebolletje. Ietwat vettig, maar dat ervaart niemand als een probleem. Voldoende vulling is mooi verdeeld. Ook de eigenschappen van de korst zijn prima in orde.",7.0,88.0,,,,,,,,7.08,,,10,8.00
"Echte Bakker De Korenaar, Surhuisterveen",Echte Bakker De Korenaar,Surhuisterveen,2015,57.0,1.0,0.9,"10 voor 9,00",Gedempte Vaart 17,"Gedempte Vaart 17, Surhuisterveen, Nederland",Ruim voldoende,"Ze smaken niet slecht, maar deze oliebollen worden toch in veel gevallen ervaren als ‘droog krentenbrood’. Met zijn vakkennis moet deze bakker in staat zijn een beter product te maken.",7.0,91.0,,,,,,,,9.28,,,10,9.00
"Bakkerij Neplenbroek, Utrecht",Bakkerij Neplenbroek,Utrecht,2015,58.0,0.9,0.85,10 voor 8.50,Biltstraat 54,"Biltstraat 54, Utrecht, Nederland",Ruim voldoende,"Vrij grote oliebollen die maar net gaar zijn. Dat geeft veel opmerkingen over klef en plakkerig. Ook strijdt een aantal bijsmaken met elkaar om voorrang, dat kan best een beetje minder.",7.0,95.0,,,,,,,,13.2,,,10,8.50
"Gebakkraam Corrie Spelbrink, Krimpen aan den IJssel",Gebakkraam Corrie Spelbrink,Krimpen aan den IJssel,2015,59.0,0.9,0.77,"13 voor 10,00","Hoogstade, winkelcentrum Crimpenhof","Hoogstade, Krimpen aan den IJssel, Nederland",Ruim voldoende,Op een nieuwe standplaats probeert Corrie Spelbrink een klantenkring op te bouwen. Dat lijkt te lukken met de beste oliebollen sinds jaren op deze locatie.,7.0,88.0,,,,,,,,9.99,,,13,10.00
"Boulangerie Patisserie Marakesh, Den Haag",Boulangerie Patisserie Marakesh,Den Haag,2015,60.0,0.95,0.85,"10 voor 8,50",Van Zeggelenlaan 109,"Van Zeggelenlaan 109, Den Haag, Nederland",Ruim voldoende,"Ook deze bakker maakt de vergissing zijn oliebollen te mooi te willen maken. Is het citroen, is het sinaasappel? En proeven we daar ook nog kaneel? Het wordt op deze manier een smaakbommetje.",7.0,78.0,,,,,,,,11.9,,,10,8.50
"Monique Visser's Gebakkraam, Maassluis",Monique Visser's Gebakkraam,Maassluis,2015,61.0,0.9,,None,P.C. Hooftlaan,"P.C. Hooftlaan, Maassluis, Nederland",Ruim voldoende,Monique Visser scoort altijd voldoende met soms een uitschieter naar boven. Dit keer had zij er verstandig aan gedaan de kaneel beter te doseren. Die is nu veel te overheersend.,7.0,85.0,,,,,,,,11.0,,,,
"Bakkerij Koopmans, Tubbergen",Bakkerij Koopmans,Tubbergen,2015,62.0,0.9,0.85,10 voor 8.50,Grotestraat 61,"Grotestraat 61, Tubbergen, Nederland",Ruim voldoende,Koopmans is een bakker die in de voorste gelederen wil opereren. Hij bakt met deze oliebol waarschijnlijk onder zijn kunnen. Korst iets taai. Compacte bol. Appel zorgt voor een zuurtje.,7.0,96.0,,,,,,,,8.53,,,10,8.50
"Bakkerij Dukers, Stein",Bakkerij Dukers,Stein,2015,63.0,0.9,,None,Mauritsweg 9,"Mauritsweg 9, Stein, Nederland",Ruim voldoende,"Typisch zo’n bolletje uit de middenmoot. Je kunt er eigenlijk niets lelijks over zeggen, maar snel een tweede pakken doe je ook niet. Maak hem luchtiger en krokanter en je hebt een topper.",7.0,82.0,,,,,,,,11.4,,,,
"De Bakkers Lamers, Heesch",De Bakkers Lamers,Heesch,2015,64.0,0.97,,None,’t Dorp 109,"’t Dorp 109, Heesch, Nederland",Ruim voldoende,"Weer een oliebol die te veel op krentenbrood lijkt. Grootste minpunt is echter de veel te zachte korst. Niet knapperig, maar taai. Of zoals iemand zegt: ,,Niet slecht, maar je knapt toch beetje af.’’",7.0,95.0,,,,,,,,9.78,,,,
"Bakkerij Van Herk, Dordrecht",Bakkerij Van Herk,Dordrecht,2015,65.0,0.8,0.75,"10 voor 7,50",Riouwstraat 2,"Riouwstraat 2, Dordrecht, Nederland",Ruim voldoende,"De drie belangrijkste zaken bij het oliebollen bakken zijn doseren, doseren en nog eens doseren. Houd de hand op de rem! Van Herk schiet uit, wat als commentaar ‘kaneelbroodje’ oplevert.",7.0,89.0,,,,,,,,15.2,,,10,7.50
"Gebakkraam Treep, Amersfoort",Gebakkraam Treep,Amersfoort,2015,66.0,0.8,0.64,"11 voor 7,00","Peter Stastokerf, parkeerterrein winkelcentrum Schothorst","52°10'26.1""N 5°23'23.9""E",Ruim voldoende,Deze kraam wordt gered door de fantastisch knapperige korst van de bol. Maar vanbinnen… De structuur is niet ideaal en de smaak vrij vlak. Alle vulling aan één kant wijst op minder goed beslag.,7.0,70.0,,,,,,,,11.0,,,11,7.00
"Oliebollenkraam Seth, Hellevoetsluis",Oliebollenkraam Seth,Hellevoetsluis,2015,67.0,0.75,0.67,"6 voor 4,00","Rijksstraatweg 124, parkeerterrein winkelcentrum","Rijksstraatweg 124, Hellevoetsluis, Nederland",Ruim voldoende,"Oliebollenkraam Seth hanteert relatief lage prijzen, maar maakt de fout ook te bezuinigen op de vulling. Doe niet zo krenterig, die ene cent kostprijs maakt het verschil niet. De smaak wel.",7.0,81.0,,,,,,,,7.83,,,6,4.00
"Bakker Gerard, Hoofddorp",Bakker Gerard,Hoofddorp,2015,68.0,0.95,0.86,"11 voor 9,50",Hoofdweg 730 A,"Hoofdweg 730 A, Hoofddorp, Nederland",Ruim voldoende,"Als Bakker Gerard in de spiegel kijkt, ziet hij niet de kampioensbakker die hij misschien denkt te zijn. Amper gaar, veel verschillende bijsmaken en te weinig vulling, die bollen. Toch nog wel te eten.",7.0,103.0,,,,,,,,10.1,,,11,9.50
"Meesterbakker Roodenrijs, Den Haag",Meesterbakker Roodenrijs,Den Haag,2015,69.0,0.95,0.9,"10 voor 9,00",Laan van Wateringseveld 678,"Laan van Wateringseveld 678, Den Haag, Nederland",Ruim voldoende,"Roodenrijs heeft aangetoond aan de top te kunnen meedraaien, maar is te wisselend om zich daar een vaste plaats te verwerven. Panel heeft opmerkingen over een ‘te vlakke smaak’.",7.0,92.0,,,,,,,,12.8,,,10,9.00
"Gebakkraam Denies, Delft",Gebakkraam Denies,Delft,2015,70.0,1.0,0.8,"10 voor 8,00","Schieweg 104, parkeerterrein Makro","Schieweg 104, Delft, Nederland",Voldoende,Verkooppunt waarvan het resultaat eerlijk gezegd een beetje tegenvalt. Was vaak in de hoogste regionen te vinden. Nu omhult een taaie korst een oliebol met weinig smaak. Jammer!,6.5,87.0,,,,,,,,7.49,,,10,8.00
"Echte Bakker De Koning, Puttershoek",Echte Bakker De Koning,Puttershoek,2015,71.0,1.0,0.83,"6 voor 5,00",Oranjeplein 14,"Oranjeplein 14, Puttershoek, Nederland",Voldoende,"De Koning heeft het net niet. Overdosis aan taaie appel. Erg donker gebakken, gecamoufleerd door vanillesuiker. En een knul van 13 die de kraam bemant, oogt niet professioneel.",6.5,85.0,,,,,,,,13.0,,,6,5.00
"Herweijer Kwaliteitsbakker, Vlaardingen",Herweijer Kwaliteitsbakker,Vlaardingen,2015,72.0,0.95,,None,Dr. Wiardi Beckmansingel 45,"Dr. Wiardi Beckmansingel 45, Vlaardingen, Nederland",Voldoende,"Herweijer is een van de bakkers die, vermoedelijk met de beste bedoelingen, aan het knutselen is geslagen en daarbij van het pad is geraakt. Een ondefinieerbare smaak wordt perzik genoemd.",6.5,99.0,,,,,,,,14.0,,,,
"Gebakkraam Dutch Bakery, Alkmaar",Gebakkraam Dutch Bakery,Alkmaar,2015,73.0,0.9,0.69,"13 voor 9,00","Wendelaarstraat, parkeerterrein AH","52°37'11.5""N 4°44'08.7""E",Voldoende,Het zoet van de vulling en het bitter van de verbrande krenten gaan met elkaar een onbesliste strijd aan. Vanillesuiker verbergt de ergste mankementen. Zal warm aan de kraam best smaken.,6.5,82.0,,,,,,,,7.84,,,13,9.00
"Het Bakkertje, Den Haag",Het Bakkertje,Den Haag,2015,74.0,0.95,0.85,"10 voor 8,50",Oude Molstraat 38,"Oude Molstraat 38, Den Haag, Nederland",Voldoende,"Een droge oliebol met weer een grote variëteit aan smaakjes, waaronder vanille en rum. Enkele bollen zijn op het randje van gaar en daardoor klef in de mond. Kan en moet een stuk beter.",6.5,87.0,,,,,,,,12.1,,,10,8.50
"Hollandse Gebakkraam Huijbrechts, Den Haag",Hollandse Gebakkraam Huijbrechts,Den Haag,2015,75.0,0.8,0.73,"11 voor 8,00",Regentesseplein,"Regentesseplein, Den Haag, Nederland",Voldoende,"Door de erg taaie korst valt het woord ‘kauwgomballen’. Krenten aan de buitenzijde zijn verbrand. Goed gevuld, toch weinig smaak. Kijk eens naar kwaliteit van de grondstoffen.",6.5,68.0,,,,,,,,9.6,,,11,8.00
"Bliek Meesterbakkers, Middelburg",Bliek Meesterbakkers,Middelburg,2015,76.0,0.9,0.79,"5 voor 3,95",Lange Delft 127,"Lange Delft 127, Middelburg, Nederland",Voldoende,"Verbrande krenten zorgen voor een ongewenst bittertje, aan de korst valt ook nog wel het een en ander te verbeteren. Voor Bliek een kwestie van weer even scherp worden.",6.5,89.0,,,,,,,,11.8,,,5,3.95
"Hollandse Gebakkraam Albers, Amsterdam",Hollandse Gebakkraam Albers,Amsterdam,2015,77.0,1.0,0.71,"14 voor 10,00",Renswoudestraat,"Renswoudestraat, Amsterdam, Nederland",Voldoende,Receptuur is altijd een keuze. Hier is sprake van erg veel appel en overdaad schaadt. De bollen hadden ook een minuutje langer in de olie mogen liggen en zijn nu maar net gaar.,6.5,87.0,,,,,,,,10.4,,,14,10.00
"Hollandse Gebakkraam J. Witstijn, Utrecht",Hollandse Gebakkraam J. Witstijn,Utrecht,2015,78.0,1.0,0.83,"12 voor 10,00","Seinedreef, parkeerterrein winkelcentrum Overvecht","52°06'46.5""N 5°06'38.2""E",Voldoende,"Jopie Witstijn, al jaren een vertrouwd adres, is een beetje wisselend in zijn resultaten. Nu is zijn oliebol aan de vette kant, de korst zacht en de vulling erg zoet. Daarmee doet hij zichzelf tekort.",6.5,100.0,,,,,,,,8.12,,,12,10.00
"Hollandse Gebakkraam Jopie Oudsen, Leeuwarden",Hollandse Gebakkraam Jopie Oudsen,Leeuwarden,2015,79.0,0.9,0.83,"12 voor 10,00",Nieuwestad,"Nieuwestad, Leeuwarden, Nederland",Voldoende,"Een taaie korst bij de eerste hap is nooit een prettige ervaring. De smaak is vlak en je vraagt je af wat je eigenlijk aan het eten bent. Bakker, verdiep je in het product oliebol en het komt goed.",6.5,80.0,,,,,,,,8.66,,,12,10.00
"De IJssalon, Rotterdam",De IJssalon,Rotterdam,2015,80.0,0.9,0.8,"10 voor 8,00",Westkruiskade 60,"Westkruiskade 60, Rotterdam, Nederland",Voldoende,"Steeds meer ijssalons stappen in de stille wintermaanden over op oliebollen. Dat lijkt gemakkelijk, maar oliebollen bakken is een vak apart. Sommige bollen niet gaar, vulling aan één kant, bijsmaakjes.",6.5,94.0,,,,,,,,15.0,,,10,8.00
"Gebakkraam Martin Verwijk, Voorburg",Gebakkraam Martin Verwijk,Voorburg,2015,81.0,0.9,0.8,"10 voor 8,00",Koningin Julianalaan,"Koningin Julianalaan, Voorburg, Nederland",Voldoende,"De korst is aan de taaie kant. Wel een mooie luchtige structuur. De hoeveelheid olie stoort niet, het is een oliebol. Meer vulling zou de smaak ten goede komen en dan is een 8 zo gehaald.",6.5,74.0,,,,,,,,10.6,,,10,8.00
"Oliebollenkraam Seth, Ridderkerk",Oliebollenkraam Seth,Ridderkerk,2015,82.0,0.78,0.68,"11 voor 7,50","Ridderhof, parkeerterrein winkelcentrum","Ridderhof 25, Ridderkerk, Nederland",Voldoende,"Er zijn technieken om de korst goed knapperig te krijgen en die moet Seth maar eens onder de knie krijgen. Want nu komen we niet verder dan een kleffe, natte, te zoete oliebol.",6.5,78.0,,,,,,,,9.15,,,11,7.50
"Echte Bakker Dees, Zaamslag",Echte Bakker Dees,Zaamslag,2015,83.0,0.8,,None,Plein 5,"Plein 5, 4543 BH Zaamslag",Voldoende,Ook Dees lijkt zich in de oliebol te verslikken. Proeven we nu citrus en kruidnagel? Lastig te bepalen. Geen oliebol met een echt eigen signatuur of een die je je lang herinnert.,6.5,93.0,,,,,,,,9.98,,,,
"Meesterbakker Van Maanen, Katwijk",Meesterbakker Van Maanen,Katwijk,2015,84.0,0.95,,None,Princestraat 4,"Princestraat 4, Katwijk, Nederland",Voldoende,"Van Maanen blijft relatief laag steken, vooral omdat veel panelleden een afwijkende smaak van de olie constateren. De structuur is prachtig, iets meer vruchten mag. Vrij zachte korst.",6.5,91.0,,,,,,,,13.6,,,,
"Hollandse Gebakkraam Nick Albers, Aalsmeer",Hollandse Gebakkraam Albers,Aalsmeer,2015,85.0,1.0,0.8,"10 voor 8,00",Ophelialaan,"Ophelialaan, Aalsmeer, Nederland",Voldoende,Aan de donkere kant. Mede daardoor ook verbrande vruchten die voor een bittere smaak zorgen. Vaktechnisch een kwestie van zorgvuldiger werken en dan komt alles goed.,6.5,87.0,,,,,,,,8.82,,,10,8.00
"Hollandse Gebakkraam Sipkema, Drachten",Hollandse Gebakkraam Sipkema,Drachten,2015,86.0,1.0,0.77,"13 voor 10,00",Museumplein,"Museumplein, Drachten, Nederland",Voldoende,Al tijdens het transport laat het overdadige gebruik van vanillesuiker geursporen achter. Dat maskeert ook andere smaakgebreken. Nu toch vooral klef en zoet.,6.5,83.0,,,,,,,,7.28,,,13,10.00
"Bakkerij Van den Berg, De Lier",Bakkerij Van den Berg,De Lier,2015,87.0,0.85,,None,Hoofdstraat  97,"Hoofdstraat  97, De Lier, Nederland",Voldoende,"Het is al vaker gezegd: te veel smaakjes maken een oliebol echt niet lekkerder. Als de korst dan ook nog knapperigheid ontbeert, is het onmogelijk hoog te eindigen. Uithuilen en opnieuw beginnen.",6.5,88.0,,,,,,,,9.39,,,,
"Gebakkraam A.J.T. Bierens en Zn-Kivits, Leiden",Gebakkraam A.J.T. Bierens en Zn-Kivits,Leiden,2015,88.0,1.0,0.77,"13 voor 10,00",Bargelaan (achterzijde Centraal Station),"52°10'01.2""N 4°28'52.2""E",Voldoende,"Een kraam zoals je die nog te vaak tegenkomt. Als het meezit, krijg je een fatsoenlijke oliebol. Maar het kan ook helemaal niets zijn en alles daartussen. Taai, droog en afwijkende smaak.",6.5,67.0,,,,,,,,7.5,,,13,10.00
"Oliebollenkraam Veldmeijer, Hendrik-Ido-Ambacht",Oliebollenkraam Veldmeijer,Hendrik-Ido-Ambacht,2015,89.0,0.9,0.83,"6 voor 5,00","Langeweg 21, parkeerterrein Intratuin","Langeweg 21, Hendrik-Ido-Ambacht, Nederland",Voldoende,Veldmeijer verraste enkele jaren geleden met een fantastische oliebol. Zoals bij veel kramen lijkt dat een gelukstreffer en zit er onvoldoende continuïteit in het bakproces. Nu taai en klef. Zonde.,6.5,106.0,,,,,,,,7.86,,,6,5.00
"Oliebollenkraam Meerzicht, Zoetermeer",Oliebollenkraam Meerzicht,Zoetermeer,2015,90.0,0.8,0.73,"11 voor 8,00",Bossewaard,"Bossewaard, Zoetermeer, Nederland",Voldoende,"Maak de oliebol een beetje luchtiger, met iets meer vulling en de kwaliteit gaat met sprongen omhoog. Nu een te vast en compact bolletje met een te taaie korst.",6.5,99.0,,,,,,,,10.5,,,11,8.00
"Hollandse Gebakkraam, Amstelveen",Hollandse Gebakkraam,Amstelveen,2015,91.0,1.0,0.73,"11 voor 8,00","Buitenplein, in winkelcentrum Stadshart","Buitenplein, Amstelveen, Nederland",Voldoende,"Lokaal bekend verkooppunt dat een deel van de omzet afstaat aan het Reumafonds. De opbrengst zou een stuk hoger zijn als er beter werd gebakken. Klef, compact en te weinig gevuld.",6.5,67.0,,,,,,,,9.37,,,11,8.00
"Gebakkraam Arjaans, Tilburg",Gebakkraam Arjaans,Tilburg,2015,92.0,1.0,0.75,"10 voor 7,50",Westermarkt,"Westermarkt, Tilburg, Nederland",Voldoende,"De kwalificatie die het vaakst terugkeert is ‘vette oliebol’. Wel redelijk gevuld, maar de krenten en rozijnen geven maar weinig smaak af. Hier ligt een uitdaging.",6.5,95.0,,,,,,,,10.9,,,10,7.50
"Hollandse Gebakkraam T. van de Weerdt, Alphen aan den Rijn",Hollandse Gebakkraam T. van de Weerdt,Alphen aan den Rijn,2015,93.0,1.0,0.75,"10 voor 7,50",Rijnplein,"Rijnplein, Alphen aan den Rijn, Nederland",Voldoende,Een gebrek aan vulling kun je smaaktechnisch niet goedmaken door een overdaad aan vanillesuiker. De korst is taai en smaakt naar karton. Ook hier moet meer uit te halen zijn.,6.5,81.0,,,,,,,,8.16,,,10,7.50
"Hollandse Gebakkraam Westenberg, Almere",Hollandse Gebakkraam Westenberg,Almere,2015,94.0,0.9,0.77,"13 voor 10,00",Rimsky-Korssakovweg,"Rimsky-Korssakovweg, Almere, Nederland",Voldoende,"Gelet op zijn uitleg is de oliebollenbakker van goede wil. Hij mist de technische vaardigheden om een en ander in de praktijk te brengen. Daar zijn cursussen voor. Een taaie bol, droog en compact.",6.5,90.0,,,,,,,,9.04,,,13,10.00
"Gouki de Oliebollenkoning Vathorst, Amersfoort",Gouki de Oliebollenkoning Vathorst,Amersfoort,2015,95.0,1.0,0.89,"9 voor 8,00",Buma 1,"Buma 1, Amersfoort, Nederland",Voldoende,Te weinig krenten en rozijnen. Daar moet je als bakker niet op willen bezuinigen. De korst is niet lekker knapperig en ook dat kost punten. Kleine aanpassingen leveren waarschijnlijk een betere bol op.,6.5,88.0,,,,,,,,12.1,,,9,8.00
"Gebakkraam Verwijk, Gouda",Gebakkraam Verwijk,Gouda,2015,96.0,1.0,0.8,"10 voor 8,00",Nieuwe Markt,"Nieuwe Markt, Gouda, Nederland",Voldoende,Een van de sympathiekste oliebollenbakkers uit de branche heeft weer zijn uiterste best gedaan. Helaas laat de knapperigheid van de korst te wensen over en zou de bol iets luchtiger mogen.,6.5,92.0,,,,,,,,8.11,,,10,8.00
"Hollandse Gebakkraam Kers en Renes, Houten",Hollandse Gebakkraam Kers en Renes,Houten,2015,97.0,1.0,0.8,"10 voor 8,00",’t Rond,"’t Rond, Houten, Nederland",Voldoende,Klef en vet. De korst lijkt op een lap verweerde huid die door een masseuse met olie onder handen is genomen. De hoeveelheid zout doet vermoeden dat er geen weegschaal is gebruikt.,6.5,96.0,,,,,,,,9.74,,,10,8.00
"Bakkerij Doomernik, Heeswijk-Dinther",Bakkerij Doomernik,Heeswijk-Dinther,2015,98.0,0.85,,None,Raadhuisplaza 6,"Raadhuisplaza 6, Heeswijk-Dinther, Nederland",Voldoende,Oliebollen zien van binnen geel. Ook hier weer veel te veel smaakjes in een bol. De knapperigheid van de korst wordt node gemist. Een gemiste kans.,6.5,96.0,,,,,,,,10.4,,,,
"Bakker Bart, Goes",Bakker Bart,Goes,2015,99.0,0.85,0.8,"5 voor 4,00",Sint Adriaanstraat 1,"Sint Adriaanstraat 1, Goes, Nederland",Voldoende,"Deze Bakker Bart maakt zijn eigen oliebollen. Te donker, tegen het verbrande aan. En dat is allesbepalend voor de smaak. De structuur is het ook niet helemaal. Veel te droog mondgevoel.",6.5,73.0,,,,,,,,10.3,,,5,4.00
"Gebakkraam Dutch Bakery, Volendam",Gebakkraam Dutch Bakery,Volendam,2015,100.0,0.8,0.73,"11 voor 8,00",Zeestraat,"Zeestraat, Volendam, Nederland",Voldoende,Verbrande vruchten aan de buitenzijde geven een bittere bijsmaak. De korst is taai en dat maakt het eten van deze oliebol een hele klus. Ook nog eens spekrandjes. Maar gauw vergeten.,6.5,85.0,,,,,,,,8.48,,,11,8.00
"Hollandse Gebakkraam, Weert",Hollandse Gebakkraam,Weert,2015,101.0,1.0,0.83,"12 voor 10,00",Bassin/Kasteelsingel,"51°15'26.6""N 5°42'14.4""E",Voldoende,Dit verkooppunt scoorde in 2012 als beste in Limburg. Maar ook hier blijkt dat het lastig is om het oude niveau vast te houden. Erg zoet door (te) veel vulling. N(i)et gaar. Ook te compact.,6.0,100.0,,,,,,,,7.66,,,12,10.00
"Gebakkraam Rovers Voogd & Kids, Nunspeet",Gebakkraam Rovers Voogd & Kids,Nunspeet,2015,102.0,1.0,0.7,"10 voor 7,00",Marktplein,"Marktplein, Nunspeet, Nederland",Voldoende,"Les 1: zorg voor een krokante korst. Dit is weer zo’n gummibolletje. De hoeveelheid vruchten is in orde, maar de smaak wordt desondanks overheerst door rijkelijk gestrooide vanillesuiker.",6.0,95.0,,,,,,,,5.81,,,10,7.00
"Gebakkraam Speelman, Eindhoven",Gebakkraam Speelman,Eindhoven,2015,103.0,0.8,0.67,"12 voor 8,00","Tarwelaan, winkelcentrum Vaartbroek","51°28'36.6""N 5°29'30.5""E",Voldoende,Vriendelijke verkoopster kan haar oliebollen op een paar punten nog wel verbeteren. Probeer de korst krokanter te krijgen en stop er wat meer krenten en rozijnen in. En een iets luchtiger beslag.,6.0,80.0,,,,,,,,6.98,,,12,8.00
"Oud Hollandse Gebakkraam Vlasblom, Rotterdam",Oud Hollandse Gebakkraam Vlasblom,Rotterdam,2015,104.0,0.9,0.83,"12 voor 10,00","Samuel Esmeijerplein, naast Jumbo","Samuel Esmeijerplein, Rotterdam, Nederland",Voldoende,"Een bol die maar op weinig waardering kan rekenen. Verbrande vruchten aan de buitenzijde, bloemklontjes en te vaste structuur vanbinnen. Olie met bijsmaak. Kijk nog eens goed naar het hele proces.",6.0,112.0,,,,,,,,6.7,,,12,10.00
"Gebakkraam 't Vlak, Barendrecht",Gebakkraam 't Vlak,Barendrecht,2015,105.0,0.9,0.82,"11 voor 9,00",’t Vlak,"’t Vlak, Barendrecht, Nederland",Voldoende,"Als het Ron Hoppema was gelukt om zijn korst lekker knapperig te krijgen, had hem dat een betere bol en een punt extra opgeleverd. Hij moet uitkijken met het toevoegen van extra smaken.",6.0,102.0,,,,,,,,6.34,,,11,9.00
"Oliebollenkraam Nesselande, Rotterdam",Oliebollenkraam Nesselande,Rotterdam,2015,106.0,0.9,0.75,"12 voor 9,00",Siciliëboulevard,"Siciliëboulevard, Rotterdam, Nederland",Voldoende,"Een bolletje waar met weinig moeite meer van te maken is. Verbeter de korst, maak het geheel wat luchtiger en gebruik meer vruchten. Dan ook nog lang genoeg bakken, et voilà!",6.0,85.0,,,,,,,,8.14,,,12,9.00
"Van Loon's Gebakkraam, Dronten",Van Loon's Gebakkraam,Dronten,2015,107.0,0.9,0.8,"10 voor 8,00","De Bolder, parkeerterrein winkelcentrum SuyderSee","De Bolder, Dronten, Nederland",Voldoende,Vergeleken met voorgaande jaren lijkt Van Loon de stijgende lijn vast te houden. Nu nog proberen om de korst iets meer bite te geven. Wat luchtiger deeg zou ook helpen.,6.0,97.0,,,,,,,,10.9,,,10,8.00
"Bakker Albert, Zeist",Bakker Albert,Zeist,2015,108.0,0.95,0.9,"10 voor 9,00",Egelinglaan 8,"Egelinglaan 8, Zeist, Nederland",Voldoende,"Gelet op de vele mails wordt Bakker Albert door zijn klantenkring op handen gedragen. Maar vergelijkenderwijs komen zijn oliebollen er niet echt goed uit. Droog, compact en bijsmaakjes.",6.0,91.0,,,,,,,,9.9,,,10,9.00
"Gebakkraam Maasakkers, Den Helder",Gebakkraam Maasakkers,Den Helder,2015,109.0,1.0,0.83,"12 voor 10,00",Spoorstraat,"Spoorstraat, Den Helder, Nederland",Voldoende,"Nog niet onvoldoende, maar een oliebol waar je weinig plezier aan beleefd. Te vet, te veel suiker, te zachte korst, te weinig vulling en te vast. Kortom, volop werk aan de winkel.",6.0,77.0,,,,,,,,11.8,,,12,10.00
"Oud-Hollandse Gebakkraam Aart van de Weerdt, Rijswijk",Oud-Hollandse Gebakkraam Aart van de Weerdt,Rijswijk,2015,110.0,1.0,0.8,"10 voor 8,00","Prinses Beatrixlaan, winkelcentrum In de Bogaard","52°02'07.1""N 4°18'58.4""E",Voldoende,"Aart van de Weerdt kan een goede oliebol bakken, maar op de een of andere manier komt dat er lang niet altijd uit. Deze bol bevat te veel fouten om onderscheidend te zijn.",6.0,112.0,,,,,,,,8.45,,,10,8.00
"Ron's Gebakkraam, Dordrecht",Ron's Gebakkraam,Dordrecht,2015,111.0,1.0,0.8,"10 voor 8,00",Spuiboulevard,"Spuiboulevard, Dordrecht, Nederland",Voldoende,"Ron teert op roem uit het verleden, maar het lijkt vergane glorie. Ooit nummer 1, nu 111. Grote bollen zijn deels niet gaar en schieten op smaak tekort. Laat baktechnisch te wensen over. Jammer.",6.0,127.0,,,,,,,,13.0,,,10,8.00
