identifier,Naam,Plaats,Jaar,Plaats op ranglijst,Prijs per stuk in €,Aanbieding prijs,Aanbieding in €,Adres,Adres_google,Categorie,Conclusie,Eindcijfer,Gewicht in gram,Hoeveelheid vulling,Klefheid,Luchtigheid,Nevenvestiging,Opmerking,Smaak,Uiterlijk,Vetpercentage,Zelf aangemeld voor deelname,Zoetheid,Aanbieding bulk aantal,Aanbieding bulk prijs
"Bakkerij Lorkeers, Nijverdal",Bakkerij Lorkeers,Nijverdal,2015,10.0,0.9,0.8,"10 voor 8,00",Rijssensestraat 172,"Rijssensestraat 172, Nijverdal, Nederland",Zeer goed,"Lekker van Lorkeers is de hoogst geklasseerde bakker van oostelijk Nederland! Ook hier een oliebol waarover je alleen met lof kunt spreken. Ga niet zelf bakken, gewoon even langs gaan.",9.0,98.0,,,,,,,,8.54,,,10,8.00
"Echte Bakker Frentz, Ugchelen",Echte Bakker Frentz,Ugchelen,2015,11.0,0.85,0.8,"10 voor 8,00",Ugchelseweg 173,"Ugchelseweg 173, Ugchelen, Nederland",Goed,"Rijk gevulde oliebol die zich gemakkelijk laat weghappen. Enkele panelleden constateren een licht bijsmaakje, maar niet zo erg dat het eetplezier verdwijnt. Zeker een aanrader.",8.5,104.0,,,,,,,,12.0,,,10,8.00
"Jongerius Bakker, Zoetermeer",Jongerius Bakker,Zoetermeer,2015,12.0,0.95,,None,Dorpsstraat 86/S,"Dorpsstraat 86/S, Zoetermeer, Nederland",Goed,Jongerius Bakker is al jaren een vertrouwde naam in oliebollenland. Stond vele keren in de top 10. Grijpt daar nu net naast. Smakelijke bol. Veel opmerkingen over grote hoeveelheid appel.,8.5,97.0,,,,,,,,13.3,,,,
"Gebakkraam Jan Vermolen, Den Haag",Gebakkraam Jan Vermolen,Den Haag,2015,13.0,1.0,0.77,"13 voor 10,00","Spui, naast het stadhuis","52°04'37.1""N 4°19'00.1""E",Goed,Met recht een oliebol! Jan Vermolen heeft de korst lekker knapperig gekregen. De bol is goed gevuld en heeft een mooie afbeet. Knap hoe Vermolen zich in de hoogste regionen handhaaft.,8.5,97.0,,,,,,,,18.3,,,13,10.00
"Bakkerij Holtkamp, Schipluiden",Bakkerij Holtkamp,Schipluiden,2015,14.0,0.95,0.9,"10 voor 9,00",Keenenburgweg 12,"Keenenburgweg 12, Schipluiden, Nederland",Goed,"Holtkamp laat punten liggen op de korst. Die is niet knapperig, maar aan de taaie kant. Voor de rest is het een uitstekende oliebol met een frisse, heldere smaak. Dooreter die je niet wilt wegleggen.",8.5,100.0,,,,,,,,9.49,,,10,9.00
"Meesterbakker Van Iersel, Tilburg",Meesterbakker Van Iersel,Tilburg,2015,15.0,0.95,0.9,"10 voor 9,00",AaBe-straat 3,"Wethouder van Ierlantstraat 33, 5021 AT Tilburg, Nederland",Goed,Ook Van Iersel behoort tot de meesterbakkers die jaar na jaar laten zien dat zij aan de top meedraaien. Gedreven vakmensen die het beste uit hun producten willen halen. Ook dat lukt dit keer.,8.5,94.0,,,,,,,,12.5,,,10,9.00
"Bakkerij Brokking, IJsselstein",Bakkerij Brokking,IJsselstein,2015,16.0,1.0,,None,Benschopperstraat 4,"Benschopperstraat 4, IJsselstein, Nederland",Goed,Een oliebol waarmee je voor de dag kunt komen: luchtig en evenwichtig van smaak. Desondanks is de winnaar van 2014 zwaar teleurgesteld. Alles was erop gericht de titel te prolongeren.,8.5,88.0,,,,,,,,14.2,,,,
"Echte Bakker Nijkamp, Holten",Echte Bakker Nijkamp,Holten,2015,17.0,0.9,0.85,"10 voor 8,50",Dorpsstraat 16,"Dorpsstraat 16, Holten, Nederland",Goed,"Gedreven ondernemersechtpaar Martin en Ingrid Nijkamp krijgt met een hoge klassering weer loon naar werken. Uitgebalanceerde, frisse smaak. Een oliebol waarvan je een tweede exemplaar wilt.",8.5,95.0,,,,,,,,10.8,,,10,8.50
"De Wateringse Oliebollenkraam, Wateringen",De Wateringse Oliebollenkraam,Wateringen,2015,18.0,1.0,0.91,"11 voor 10,00",Plein 15a,"Plein 15a, Wateringen, Nederland",Goed,Ook Onno en Anita Bootsma  halen het onderste uit de kan. En dat leidt tot een prima bolletje. Maakten de afgelopen jaren grote stappen voorwaarts.  Behaalden goud bij het Nederlands Bakkerij Centrum.,8.5,101.0,,,,,,,,11.2,,,11,10.00
"Gebakkraam Richard Voets, Tilburg",Gebakkraam Richard Voets,Tilburg,2015,19.0,1.0,0.83,"12 voor 10,00",Heyhoefpromenade 1,"Heyhoefpromenade 1, Tilburg, Nederland",Goed,"Richard Voets mikte op een plaats in de top 10, maar ook hij moest ervaren dat de concurrentie steeds heftiger wordt. De klant profiteert, want dit is weer een prima verteerbare oliebol.",8.5,95.0,,,,,,,,9.55,,,12,10.00
